File Name:C:\Users\dabinde\Desktop\Python\Python_learning_lab\Programs\Pgm15.Fitting_trace\¡¾ÑÐ¾¿¡¿Residual Yielded Clamped Force Study and Verification\20201222\Calibration\Loosening_cal_data.TXT
Longitudinal Wave
TotBolts=4; Interpolation
Bolt 16(Load);Bolt 16 (Time);Bolt 12(Load);Bolt 12 (Time);Bolt 8(Load);Bolt 8 (Time);Bolt 6(Load);Bolt 6 (Time);
-0.26;194.5;0;208.8;0;194.8;-1.84;188.1;
6.84;214;11.84;228.4;4.21;214.5;0.79;208.3;
11.84;234;12.89;247.9;7.89;234.3;2.37;228.3;
18.94;253.8;13.15;266.9;8.42;254.2;3.15;248.7;
26.04;273.7;32.09;287.4;12.62;273.9;5.78;268.8;
32.88;293.5;41.29;307.2;16.83;293.8;9.73;289.1;
39.45;313.2;47.34;326.3;21.57;313.6;14.72;309.3;
45.5;333.1;54.18;346.5;26.56;333.2;20.5;329.5;
51.55;352.9;59.44;366.3;31.83;353.2;27.08;349.6;
57.6;372.4;64.7;385.9;37.09;373;33.39;369.5;
63.65;392.3;68.38;405.6;43.13;392.9;39.17;390;
69.17;412.2;74.96;425.2;49.45;412.7;44.69;410.3;
74.43;431.9;79.43;445;55.23;432.4;50.21;430.3;
79.43;451.8;83.9;464.8;60.76;452.1;55.99;450.7;
84.17;471.6;87.32;484.2;65.75;471.9;61.78;470.8;
88.9;491.5;90.74;504.1;70.75;491.9;68.09;491.1;
93.63;511.2;94.69;523.7;76.54;511.7;73.61;511.1;
98.11;530.9;98.63;543.3;81.54;531.4;79.13;531.5;
102.05;550.6;102.58;563.2;86.53;551.3;84.38;551.6;
105.73;570.6;106.52;582.7;91.79;571.1;89.12;571.8;
109.42;590.5;109.68;602.3;97.32;590.9;93.32;592.1;
113.1;610.2;111.78;622.3;102.31;610.8;97.53;612.2;
116.52;630;113.89;641.9;107.05;630.5;102.26;632.5;
120.2;649.9;115.99;661.2;111.52;650.3;106.99;652.7;
123.88;669.6;118.62;681.1;115.99;670.2;111.72;672.7;
127.56;689.4;121.78;700.8;120.46;690.1;115.93;693.1;
131.25;709;125.2;720.5;124.93;710;120.14;713.3;
134.93;728.8;128.88;740.3;129.4;729.6;124.34;733.5;
138.61;748.7;132.82;760;134.14;749.4;128.55;753.7;
142.56;768.6;136.51;779.5;138.87;769.3;133.28;774;
146.5;788.4;139.93;799.1;143.34;789.2;138.01;794.1;
150.45;808.1;144.13;819.2;148.08;809;143.01;814.3;
154.39;827.9;147.82;838.8;152.81;828.6;148.79;834.5;
158.34;847.6;152.02;858.2;157.55;848.5;154.57;854.8;
162.55;867.6;155.71;877.8;162.28;868.4;159.83;874.8;
166.49;887.2;159.91;897.7;166.75;888.3;164.56;895.2;
170.44;907;163.86;917.5;171.22;907.8;169.03;915.3;
174.64;927;167.81;936.8;175.7;927.7;173.5;935.6;
178.85;946.6;172.28;956.8;180.17;947.6;177.97;955.7;
186.22;966.6;179.64;976.8;187.79;967.6;184.54;975.9;

Avg Interpolate(Load);Avg Interpolate (Time);
KN;nSec;
26.374;188.1;
11.579;207.82;
7.6209;227.54;
10.194;247.25;
13.384;266.97;
21.636;286.69;
27.989;306.4;
33.739;326.12;
39.772;345.84;
45.493;365.56;
51.175;385.27;
56.418;404.99;
62.237;424.71;
67.424;444.43;
72.449;464.14;
77.232;483.86;
82.038;503.58;
86.846;523.3;
91.424;543.02;
95.832;562.73;
100.17;582.45;
104.21;602.17;
107.9;621.89;
111.62;641.6;
115.34;661.32;
119.12;681.04;
122.96;700.76;
126.88;720.47;
130.89;740.19;
135.07;759.91;
139.27;779.63;
143.44;799.34;
147.9;819.06;
152.41;838.78;
157.04;858.5;
161.4;878.21;
165.68;897.93;
169.89;917.65;
174.14;937.37;
179.32;957.08;


