File Name:C:\Users\dabinde\Desktop\Python\Python_learning_lab\Programs\Pgm15.Fitting_trace\Loosening_cal_data-2.TXT
Longitudinal Wave
TotBolts=3; Interpolation
Bolt 10(Load);Bolt 10 (Time);Bolt 8(Load);Bolt 8 (Time);Bolt 6(Load);Bolt 6 (Time);
-0.13;275.1;0;278.9;0.13;180.4;
0.65;295.2;0.91;299;-0.26;199.8;
1.95;315.4;4.03;319.1;1.04;219.3;
5.59;335.6;7.94;339.3;5.07;238.6;
10.15;355.8;12.23;359.6;9.76;258.3;
14.57;376;16.13;379.8;13.92;277.6;
18.61;395.9;20.04;400;17.95;297.2;
22.77;416.3;23.81;420.2;21.86;316.8;
26.41;436.4;27.45;440.5;25.24;336.2;
29.92;456.6;30.84;460.5;28.49;355.8;
33.31;476.9;34.22;480.6;31.49;375.3;
36.69;497;37.47;500.9;34.61;394.6;
40.2;517.1;40.85;521.2;37.73;414.3;
43.72;537.1;44.11;541.2;40.72;433.7;
47.1;557.6;47.23;561.4;43.85;453.3;
50.61;577.8;50.48;581.8;46.97;472.8;
53.99;597.9;53.73;602;49.96;492.2;
57.51;618;56.99;622.2;53.21;511.8;
60.89;638.3;60.24;642.2;56.34;531.1;
64.27;658.4;63.49;662.6;59.59;550.7;
67.79;678.7;66.88;682.7;62.71;570.2;
71.3;698.8;70.13;702.9;65.96;589.7;
74.55;718.9;73.64;723.2;69.22;609.1;
78.06;739.2;77.02;743.3;72.47;628.6;
81.58;759.4;80.41;763.6;75.85;648.2;
84.83;779.6;83.66;783.8;79.11;667.6;
88.21;799.6;87.04;803.9;82.49;687.2;
91.86;819.9;90.42;824;85.87;706.5;
95.24;840.1;93.81;844.4;89.25;726.2;
98.62;860.2;97.19;864.5;92.64;745.6;
102;880.3;100.57;884.6;96.02;764.9;
105.39;900.6;103.96;904.9;99.53;784.7;
108.9;920.9;107.21;925.1;102.91;804.1;
112.28;941;110.72;945.3;106.3;823.6;
115.67;961.2;114.1;965.6;109.68;843.2;
119.05;981.4;117.49;985.8;113.19;862.7;
122.43;1001.5;120.87;1006;116.58;882.1;
125.81;1021.5;124.25;1026.1;120.09;901.6;
129.2;1041.8;127.63;1046.3;123.6;920.9;
134.66;1062.2;132.84;1066.6;127.5;940.6;

Avg Interpolate(Load);Avg Interpolate (Time);
KN;nSec;
15.156;180.4;
16.943;202.55;
19.548;224.71;
23.027;246.87;
26.56;269.02;
5.9202;291.17;
8.7063;313.33;
12.629;335.48;
17.047;357.64;
21.229;379.8;
25.341;401.95;
29.312;424.11;
33.092;446.26;
36.777;468.42;
40.378;490.57;
44.078;512.72;
47.792;534.88;
51.389;557.03;
55.039;579.19;
58.712;601.35;
62.416;623.5;
66.109;645.66;
69.806;667.81;
73.593;689.97;
77.337;712.12;
81.124;734.28;
84.937;756.43;
88.645;778.59;
92.416;800.74;
96.258;822.9;
100;845.05;
103.81;867.21;
107.59;889.36;
111.4;911.52;
115.29;933.67;
113.62;955.83;
117.33;977.98;
121.04;1000.1;
124.78;1022.3;
128.61;1044.4;


